[Summary of Kimberly-Clark at Barclays Global Consumer Staples Conference]

Date: September 6, 2023
Participants: Mike Hsu (CEO), Nelson Urdaneta (CFO)

## Key Strategic Pillars Discussed:
1.  **"Powering Care" Strategy:** Transitioning to focus exclusively on personal care and wellness. Exiting private label diaper business.
2.  **Long-Term Financial Targets:**
    *   Goal: 40% Gross Margin.
    *   Goal: 18-20% Operating Profit Margin.
    *   Goal: Outpace category growth (projected at 2-3%) via innovation.
3.  **Innovation & Premiumization:**
    *   Innovation pipeline value has grown by 50% since 2019.
    *   Focus on "tiering up" consumers to premium products (e.g., higher tier Huggies/Kotex).
4.  **Supply Chain Modernization:**
    *   Targeting >$3 billion in gross productivity savings.
    *   Targeting $500 million working capital reduction.
    *   Simplification via global value stream organization.

## Management Commentary:
*   **Mike Hsu:** "We have a proven playbook... we are creating more valuable innovation for consumers."
*   **Nelson Urdaneta:** Discussed the KC-2022 strategy success and the path to margin recovery.

Note: This document provides high-level strategic direction often not found in quarterly earnings calls.
